day,high,low
2021-04-30,82.5487251856626,53.768664647901616
2021-05-01,72.16159945106281,52.11889939283194
2021-05-02,62.499083103912156,45.26873933418562
2021-05-03,66.13640452780783,39.967489200958624
2021-05-04,68.32579390424648,45.15694103073864
2021-05-05,75.83992712431328,43.73225850301727
2021-05-06,88.99921031906385,53.83313029873604
2021-05-07,72.50665159439413,48.00008030951162
2021-05-08,58.649264835700215,37.41717338950773
2021-05-09,61.235470866772665,37.30109169612128
2021-05-10,65.50289505770417,39.32619901780554
2021-05-11,68.82349008964047,42.52930697365488
2021-05-12,80.03918443497184,46.89827262571917
2021-05-13,80.0730272812088,55.23155461576823
2021-05-14,78.81237717268212,52.77946157548254
2021-05-15,76.88781957548393,52.53865906911158
2021-05-16,83.36622006094355,52.13859936904965
2021-05-17,85.42214050597218,57.53894039381646
2021-05-18,72.45923828224308,56.1644217117077
2021-05-19,58.468983467223154,46.4296289072624
2021-05-20,61.178123605812935,39.32509400062031
2021-05-21,53.80766459388553,42.365462820636445
2021-05-22,55.83467022506061,41.47177443283347
2021-05-23,61.28744082717576,42.75027944588849
